	correlation with reference	method	corruption fraction
0	0.7290087941468915	Corrupted	0.1
1	0.7588187165856584	Corrupted	0.1
2	0.8451580906846134	Corrupted	0.1
3	0.7989647896503291	Corrupted	0.1
4	0.8153176775780469	Corrupted	0.1
5	0.7717799692518683	Corrupted	0.1
6	0.8681135573928418	Corrupted	0.1
7	0.8145652169237776	Corrupted	0.1
8	0.7658038450366111	Corrupted	0.1
9	0.7885101396354592	Corrupted	0.1
10	0.8207532837676295	Corrupted	0.1
11	0.7531249734300446	Corrupted	0.1
12	0.7602765289594633	Corrupted	0.1
13	0.854004660676481	Corrupted	0.1
14	0.7180613541864026	Corrupted	0.1
15	0.7849897942046731	Corrupted	0.1
16	0.8128681124994707	Corrupted	0.1
17	0.8420391286403615	Corrupted	0.1
18	0.7796270002339148	Corrupted	0.1
19	0.813937328670584	Corrupted	0.1
20	0.8122434483303893	Corrupted	0.1
21	0.7703827686167755	Corrupted	0.1
22	0.820385746046733	Corrupted	0.1
23	0.7690747968060818	Corrupted	0.1
24	0.840180197552249	Corrupted	0.1
25	0.7568906159238087	Corrupted	0.1
26	0.8464046327666802	Corrupted	0.1
27	0.7294350284901419	Corrupted	0.1
28	0.8682206325643126	Corrupted	0.1
29	0.7428551010413714	Corrupted	0.1
30	0.8070085647126019	Corrupted	0.1
31	0.7079415142384476	Corrupted	0.1
32	0.8762697290723017	Corrupted	0.1
33	0.8121549422223184	Corrupted	0.1
34	0.7671317735893478	Corrupted	0.1
35	0.7938989257935376	Corrupted	0.1
36	0.8432432994368455	Corrupted	0.1
37	0.7794847490441494	Corrupted	0.1
38	0.7559005780595356	Corrupted	0.1
39	0.7634959339602237	Corrupted	0.1
40	0.7743315688571444	Corrupted	0.1
41	0.7926051731422356	Corrupted	0.1
42	0.8342043241052186	Corrupted	0.1
43	0.8517589177548354	Corrupted	0.1
44	0.7535804447956239	Corrupted	0.1
45	0.7260022074660044	Corrupted	0.1
46	0.7912412927022316	Corrupted	0.1
47	0.7414930180375059	Corrupted	0.1
48	0.7431613422726914	Corrupted	0.1
49	0.7957856426390497	Corrupted	0.1
50	0.7686803698783659	Corrupted	0.1
51	0.7919547734748057	Corrupted	0.1
52	0.8347569977163447	Corrupted	0.1
53	0.8251667598696748	Corrupted	0.1
54	0.8234409755211879	Corrupted	0.1
55	0.7840487913611547	Corrupted	0.1
56	0.8074361313706059	Corrupted	0.1
57	0.7745126702530847	Corrupted	0.1
58	0.7738118873823014	Corrupted	0.1
59	0.8297491610238731	Corrupted	0.1
60	0.7256007935335153	Corrupted	0.1
61	0.7763823679884779	Corrupted	0.1
62	0.7954691060733583	Corrupted	0.1
63	0.7841104076841369	Corrupted	0.1
64	0.7984870395213015	Corrupted	0.1
65	0.75966265583404	Corrupted	0.1
66	0.8075023675934206	Corrupted	0.1
67	0.8593809777428285	Corrupted	0.1
68	0.8067691528993339	Corrupted	0.1
69	0.8188664202430505	Corrupted	0.1
70	0.8121988618218622	Corrupted	0.1
71	0.7888915175617586	Corrupted	0.1
72	0.8194664367448892	Corrupted	0.1
73	0.7900943139698463	Corrupted	0.1
74	0.809521048125874	Corrupted	0.1
75	0.7663369371799111	Corrupted	0.1
76	0.7080439675238746	Corrupted	0.1
77	0.7900242725799795	Corrupted	0.1
