	correlation with reference	method	corruption fraction
0	0.8291961109401536	Corrupted	0.1
1	0.7840618078701784	Corrupted	0.1
2	0.7451132325940113	Corrupted	0.1
3	0.7914337641513243	Corrupted	0.1
4	0.781902579060515	Corrupted	0.1
5	0.791385908691048	Corrupted	0.1
6	0.737635389678542	Corrupted	0.1
7	0.8253624534067644	Corrupted	0.1
8	0.8203337485301729	Corrupted	0.1
9	0.8387134837198315	Corrupted	0.1
10	0.7979875733754187	Corrupted	0.1
11	0.8541020692011558	Corrupted	0.1
12	0.790993676770685	Corrupted	0.1
13	0.7265459480724956	Corrupted	0.1
14	0.7688943778330697	Corrupted	0.1
15	0.7973740736628849	Corrupted	0.1
16	0.7446892552922851	Corrupted	0.1
17	0.7939818471761934	Corrupted	0.1
18	0.8178007096947785	Corrupted	0.1
19	0.803609639694113	Corrupted	0.1
20	0.8214806448442724	Corrupted	0.1
21	0.7629029750056932	Corrupted	0.1
22	0.8355349558638238	Corrupted	0.1
23	0.782294161505417	Corrupted	0.1
24	0.8183634755640081	Corrupted	0.1
25	0.7317144845251324	Corrupted	0.1
26	0.7891111671805776	Corrupted	0.1
27	0.7629843733681785	Corrupted	0.1
28	0.7513126380171231	Corrupted	0.1
29	0.7436236370090566	Corrupted	0.1
30	0.8011239919728813	Corrupted	0.1
31	0.7605622194642601	Corrupted	0.1
32	0.8465353563413462	Corrupted	0.1
33	0.7702856169246315	Corrupted	0.1
34	0.7241928016018548	Corrupted	0.1
35	0.7734940899237682	Corrupted	0.1
36	0.7426663457390241	Corrupted	0.1
37	0.8214928792205215	Corrupted	0.1
38	0.7489780512656905	Corrupted	0.1
39	0.7835905655428046	Corrupted	0.1
40	0.8529251167733958	Corrupted	0.1
41	0.8234541201394713	Corrupted	0.1
42	0.8143622893404642	Corrupted	0.1
43	0.8533720271909739	Corrupted	0.1
44	0.8523878535804009	Corrupted	0.1
45	0.7368409767312887	Corrupted	0.1
46	0.8173602189530249	Corrupted	0.1
47	0.8426616717673663	Corrupted	0.1
48	0.7250579885437007	Corrupted	0.1
49	0.7917488356650272	Corrupted	0.1
50	0.8101914185794579	Corrupted	0.1
51	0.7906025227556287	Corrupted	0.1
52	0.8011857867477462	Corrupted	0.1
53	0.7668577319035326	Corrupted	0.1
54	0.7882806349556629	Corrupted	0.1
55	0.8148575887722427	Corrupted	0.1
56	0.7582799860024271	Corrupted	0.1
57	0.7594404744538551	Corrupted	0.1
58	0.8175292341884852	Corrupted	0.1
59	0.7473204630311217	Corrupted	0.1
60	0.8025678667620232	Corrupted	0.1
61	0.8122414522769824	Corrupted	0.1
62	0.7851093703276858	Corrupted	0.1
63	0.7454078307345897	Corrupted	0.1
64	0.7777665771698294	Corrupted	0.1
65	0.7835834736279129	Corrupted	0.1
66	0.7573013176508743	Corrupted	0.1
67	0.8060031819925926	Corrupted	0.1
68	0.8351126502579092	Corrupted	0.1
69	0.8297853652803993	Corrupted	0.1
70	0.7687992134880811	Corrupted	0.1
71	0.740547199528983	Corrupted	0.1
72	0.7950482883326864	Corrupted	0.1
73	0.7641917513430878	Corrupted	0.1
74	0.7172803248607169	Corrupted	0.1
75	0.8632665846946757	Corrupted	0.1
76	0.7676921104039607	Corrupted	0.1
77	0.7919250353017573	Corrupted	0.1
78	0.7668108723834818	Corrupted	0.1
79	0.8264935259973483	Corrupted	0.1
80	0.8274240845673813	Corrupted	0.1
81	0.7911975924358551	Corrupted	0.1
82	0.7953918917041575	Corrupted	0.1
83	0.7754767263356722	Corrupted	0.1
84	0.7590639393457256	Corrupted	0.1
85	0.7875961988607573	Corrupted	0.1
86	0.7764251365607272	Corrupted	0.1
87	0.8646871348483928	Corrupted	0.1
88	0.8258146667722294	Corrupted	0.1
89	0.8207339908699988	Corrupted	0.1
90	0.7993143685373728	Corrupted	0.1
91	0.8199288022781818	Corrupted	0.1
92	0.7985201019105497	Corrupted	0.1
93	0.7591146714610635	Corrupted	0.1
94	0.8284762251633858	Corrupted	0.1
95	0.766518833516264	Corrupted	0.1
96	0.75410933492402	Corrupted	0.1
97	0.7802483596864657	Corrupted	0.1
98	0.7416924967110317	Corrupted	0.1
99	0.7515895701716365	Corrupted	0.1
100	0.8066888109705183	Corrupted	0.1
101	0.8156292466229819	Corrupted	0.1
102	0.7676424224903194	Corrupted	0.1
103	0.7507599659067152	Corrupted	0.1
104	0.7633304702720923	Corrupted	0.1
105	0.7916625441675514	Corrupted	0.1
106	0.8481581561517741	Corrupted	0.1
107	0.7992647428367439	Corrupted	0.1
108	0.876004631656858	Corrupted	0.1
109	0.8165663187939823	Corrupted	0.1
110	0.8493277780285035	Corrupted	0.1
111	0.8367151280665858	Corrupted	0.1
112	0.8379168167242693	Corrupted	0.1
113	0.7939762627600381	Corrupted	0.1
114	0.8119711996890152	Corrupted	0.1
115	0.7695520488281942	Corrupted	0.1
116	0.8698010646718106	Corrupted	0.1
117	0.7766734566240685	Corrupted	0.1
118	0.7799862324014315	Corrupted	0.1
119	0.810593318123457	Corrupted	0.1
120	0.8242706200101729	Corrupted	0.1
121	0.7738148012362871	Corrupted	0.1
122	0.8026485585082315	Corrupted	0.1
123	0.8279386077747044	Corrupted	0.1
124	0.6918992272385951	Corrupted	0.1
125	0.7521478883821667	Corrupted	0.1
126	0.8262831740773394	Corrupted	0.1
127	0.8055032993515706	Corrupted	0.1
128	0.7547337956366396	Corrupted	0.1
129	0.7993849202449905	Corrupted	0.1
130	0.8495257977301204	Corrupted	0.1
131	0.6702040763194935	Corrupted	0.1
132	0.8281257879131648	Corrupted	0.1
133	0.7588081936106191	Corrupted	0.1
134	0.7827557885027551	Corrupted	0.1
135	0.7990971372407732	Corrupted	0.1
136	0.8276009956339214	Corrupted	0.1
137	0.7920963043766899	Corrupted	0.1
138	0.7777271609099786	Corrupted	0.1
139	0.7869909336213122	Corrupted	0.1
140	0.8001379455312897	Corrupted	0.1
141	0.7513902961719354	Corrupted	0.1
142	0.7743315688571444	Corrupted	0.1
143	0.8275237858060916	Corrupted	0.1
144	0.8865369403654813	Corrupted	0.1
145	0.7989695868007909	Corrupted	0.1
146	0.789907953394017	Corrupted	0.1
147	0.8876871787140591	Corrupted	0.1
148	0.7477293184498253	Corrupted	0.1
149	0.8017231055427344	Corrupted	0.1
150	0.8034839500839175	Corrupted	0.1
151	0.831462352274884	Corrupted	0.1
152	0.7948082868695369	Corrupted	0.1
153	0.7634261725459336	Corrupted	0.1
154	0.7549771725468002	Corrupted	0.1
155	0.8049513497715456	Corrupted	0.1
156	0.6959531567295021	Corrupted	0.1
